iter	Logloss
0	0.6664531091
1	0.6400768632
2	0.6152193638
3	0.5986484138
4	0.5810927051
5	0.5623499784
6	0.5476923819
7	0.5349527393
8	0.5206671885
9	0.5088118343
10	0.4988907048
11	0.4909978765
12	0.482925726
13	0.4771146625
14	0.4716730914
15	0.4665974029
16	0.4612205086
17	0.4572592063
18	0.4535260794
19	0.4495557307
20	0.4470069408
21	0.444086083
22	0.4407975066
23	0.438080662
24	0.4355055036
25	0.4333137704
26	0.4307705798
27	0.4288202485
28	0.4270694244
29	0.4252633296
30	0.4237575788
31	0.4222925463
32	0.4212765977
33	0.4207744839
34	0.419967486
35	0.4187474906
36	0.4175362056
37	0.4167992024
38	0.4160276203
39	0.4148862387
40	0.4142779191
41	0.4132870217
42	0.4124292411
43	0.4114814744
44	0.410814105
45	0.4103296595
46	0.4099504507
47	0.4094217246
48	0.4088114101
49	0.4082005745
50	0.4079182921
51	0.4076745616
52	0.4073436244
53	0.406817049
54	0.4064600351
55	0.4063738097
56	0.4058855227
57	0.4055327365
58	0.4049871103
59	0.4047410801
60	0.4042259091
61	0.4038989599
62	0.403429204
63	0.4032709151
64	0.4031688579
65	0.4029366513
66	0.4025509976
67	0.402386154
68	0.4019896393
69	0.4014921741
70	0.4010862198
71	0.4010571581
72	0.4009461261
73	0.4008974297
74	0.4005675998
75	0.4004514344
76	0.400419419
77	0.4001218221
78	0.3999085996
79	0.3998329449
80	0.3995935309
81	0.3993496286
82	0.3990751035
83	0.3990566773
84	0.3989787671
85	0.3986939091
86	0.39862214
87	0.398288844
88	0.3981465513
89	0.3979484067
90	0.397675535
91	0.3972577031
92	0.3969448473
93	0.3968882043
94	0.3967706576
95	0.396403115
96	0.3961747798
97	0.3960338796
98	0.3958426542
99	0.3957539549
100	0.3955334562
101	0.395228491
102	0.3950982128
103	0.3949768899
104	0.3948077498
105	0.394632538
106	0.3943703141
107	0.3941273653
108	0.3940320724
109	0.3937885223
110	0.3935631868
111	0.3935046172
112	0.3932678881
113	0.3932271958
114	0.3929472044
115	0.3928435435
116	0.3926018178
117	0.3925856432
118	0.392447259
119	0.3922489744
120	0.3919278731
121	0.391776267
122	0.3916636068
123	0.3915443432
124	0.3914712597
125	0.3914608137
126	0.3913705149
127	0.3913475799
128	0.3912295511
129	0.3910370543
130	0.3909976383
131	0.3909468444
132	0.3908382246
133	0.3908005839
134	0.3907647013
135	0.3905009887
136	0.3903220611
137	0.39016316
138	0.3899493654
139	0.3899002246
140	0.3897534325
141	0.3896318662
142	0.389547733
143	0.3894674988
144	0.3892611562
145	0.3890161888
146	0.3889034958
147	0.3888311905
148	0.3887420754
149	0.3886196576
150	0.3885849475
151	0.388495574
152	0.3884792158
153	0.3883038017
154	0.3882354765
155	0.3879554348
156	0.3878776339
157	0.3878234155
158	0.3877104834
159	0.3875844535
160	0.387423276
161	0.3874209709
162	0.3873546106
163	0.3872838755
164	0.3872471491
165	0.3870851035
166	0.3868154564
167	0.3866874399
168	0.38666227
169	0.3864344697
170	0.3863689178
171	0.3863149462
172	0.386135386
173	0.3860018297
174	0.3858343969
175	0.3855423762
176	0.3852545969
177	0.3849121871
178	0.3847996626
179	0.3847105614
180	0.3845464457
181	0.3842741424
182	0.3841715788
183	0.3841227241
184	0.3839705865
185	0.3838656513
186	0.383649416
187	0.3833766857
188	0.3832642678
189	0.3831208548
190	0.3830201367
191	0.3829643721
192	0.3828780337
193	0.382674347
194	0.3825423236
195	0.3824000845
196	0.382099744
197	0.3817185941
198	0.3813980294
199	0.3812712744
